City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Chumphon,TH,78.8,broken clouds,10.33,98.83,บ้านอิงน้ำ โฮมสเตย์
6,Baherden,TM,84.72,clear sky,38.44,57.43,
7,Sao Filipe,CV,77.92,broken clouds,14.9,-24.5,Tortuga B&B
8,Hamilton,US,82.0,few clouds,39.18,-84.53,Six Acres Bed & Breakfast
11,Atuona,PF,79.95,clear sky,-9.8,-139.03,Villa Enata
13,Marsh Harbour,BS,84.94,broken clouds,26.54,-77.06,Abaco Beach Resort
23,Namatanai,PG,85.33,few clouds,-3.67,152.43,Namatanai Hotel
25,Cockburn Town,TC,82.18,clear sky,21.46,-71.14,Osprey Beach Hotel
26,Makakilo City,US,87.8,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
37,Chase,CA,79.0,overcast clouds,50.82,-119.69,Chase Country Inn Motel
39,Bol,TD,80.26,overcast clouds,13.46,14.71,Hotel 3 Etoiles
42,Banda Aceh,ID,81.34,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
44,Kapaa,US,82.4,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
45,Laguna,US,89.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
46,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
57,Avera,US,84.0,clear sky,33.19,-82.53,
61,Atambua,ID,78.19,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
64,Nerkunram,IN,80.6,mist,12.69,79.85,PALACE ESTATE AVENUE KATANKULAM
66,Helong,CN,79.39,clear sky,42.54,129.0,Helong Hotel
68,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
72,Victoria,HK,90.0,few clouds,22.29,114.16,Mini Hotel Central
73,Cayenne,GF,78.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
75,Irbil,IQ,84.78,clear sky,36.19,44.01,Erbil International Hotel
76,Kloulklubed,PW,86.0,broken clouds,7.04,134.26,Storyboard Beach Resort
79,Vila Do Maio,CV,78.8,scattered clouds,15.13,-23.22,Residence 'I Delfini'
80,Madison Heights,US,81.0,clear sky,42.49,-83.11,Red Roof Inn Detroit - Royal Oak/Madison Heights
83,Hobyo,SO,78.91,overcast clouds,5.35,48.53,Osmani Hotel
84,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
86,Jamame,SO,75.36,broken clouds,0.07,42.75,
94,Bengkulu,ID,78.28,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
99,Bambanglipuro,ID,79.3,overcast clouds,-7.95,110.28,Puri Brata
101,Hue,VN,86.0,clear sky,16.47,107.6,Saigon Morin Hotel
110,Macapa,BR,84.2,clear sky,0.04,-51.07,Atalanta Hotel
114,Saint-Louis,SN,78.8,few clouds,16.33,-15.0,
119,Puri,IN,80.6,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
128,Mareeba,AU,75.2,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
130,Olinda,BR,75.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
132,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
138,Chatan,JP,87.8,clear sky,26.31,127.77,The Beach Tower Okinawa
147,Hithadhoo,MV,83.55,broken clouds,-0.6,73.08,Scoop Guest House
150,Okmulgee,US,89.6,clear sky,35.62,-95.96,Holiday Inn Express & Suites Okmulgee
154,Sur,OM,85.51,clear sky,22.57,59.53,Sur Plaza Hotel
156,Eyl,SO,81.46,overcast clouds,7.98,49.82,Amiin Hotel
158,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
159,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
160,Funadhoo,MV,83.7,overcast clouds,6.15,73.27,Dhaffalhu Tourist Lodge
161,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
162,Pemangkat,ID,76.6,overcast clouds,1.17,108.97,Kost H.Syamsuddin
163,Norsup,VU,82.4,scattered clouds,-16.07,167.38,Nabelchel Bungalows
168,Awbari,LY,76.8,clear sky,26.59,12.78,فندق أوباري
171,Pekan,MY,80.6,few clouds,3.48,103.4,Pekan Budget Hotel
173,Gumdag,TM,81.01,broken clouds,39.21,54.59,
174,Hambantota,LK,77.0,broken clouds,6.12,81.12,Bungalow 63
177,Makaha,US,87.8,broken clouds,21.47,-158.22,Hawaiian Princess Resort
181,San Policarpo,PH,85.55,scattered clouds,12.18,125.51,Zal-Ann Beach Resort
189,Norman Wells,CA,75.2,shower rain,65.28,-126.83,Heritage Hotel
194,Magdalena,PH,87.64,scattered clouds,14.2,121.43,"Green Nature Resort & Leisure Park, Nagcarlan, Laguna"
197,Moindou,NC,77.0,few clouds,-21.69,165.68,Gite de la RYAWA
199,Honiara,SB,89.6,scattered clouds,-9.43,159.95,Heritage Park Hotel
