,City,Lat,Lng,Max Temp,Min Temp,Current Description,Humidity,Cloudiness,Wind Speed,Rain (inches),Snow (inches),Country
0,Chumphon,10.33,98.83,78.8,78.8,broken clouds,94,75,1.57,0.0,0,TH
1,Werda,-25.27,23.28,35.04,35.04,clear sky,80,0,8.14,0.0,0,BW
2,New Norfolk,-42.78,147.06,48.0,41.0,overcast clouds,92,100,0.38,0.0,0,AU
3,Tilichiki,60.47,166.1,51.55,51.55,overcast clouds,91,100,5.99,0.0,0,RU
4,Namibe,-15.2,12.15,61.61,61.61,clear sky,85,0,1.83,0.0,0,AO
5,Punta Arenas,-53.15,-70.92,32.0,32.0,overcast clouds,86,99,4.7,0.0,0,CL
6,Baherden,38.44,57.43,84.72,84.72,clear sky,42,0,6.06,0.0,0,TM
7,Sao Filipe,14.9,-24.5,77.92,77.92,broken clouds,83,80,6.89,0.0,0,CV
8,Hamilton,39.18,-84.53,82.0,77.0,few clouds,65,20,5.1,0.0,0,US
9,Jamestown,42.1,-79.24,71.01,66.0,clear sky,64,1,5.82,0.0,0,US
10,Hobart,-42.88,147.33,48.0,46.4,broken clouds,87,75,8.05,0.0,0,AU
11,Atuona,-9.8,-139.03,79.95,79.95,clear sky,76,0,19.95,0.0,0,PF
12,Ushuaia,-54.8,-68.3,30.2,30.2,scattered clouds,92,40,4.7,0.0,0,AR
13,Marsh Harbour,26.54,-77.06,84.94,84.94,broken clouds,73,81,7.29,0.0,0,BS
14,Port Alfred,-33.59,26.89,51.31,51.31,light rain,73,76,15.17,0.29,0,ZA
15,Rawson,-43.3,-65.1,39.58,39.58,scattered clouds,68,40,4.85,0.0,0,AR
16,Rikitea,-23.12,-134.97,72.3,72.3,overcast clouds,84,100,14.61,0.0,0,PF
17,Saint George,37.1,-113.58,104.0,100.99,clear sky,10,1,12.75,0.0,0,US
18,Tiznit,29.58,-9.5,74.86,74.86,clear sky,53,0,1.03,0.0,0,MA
19,Albany,42.6,-73.97,72.0,69.01,overcast clouds,69,100,2.98,0.0,0,US
20,Vostok,46.49,135.88,72.52,72.52,broken clouds,69,57,0.56,0.0,0,RU
21,Bambous Virieux,-20.34,57.76,71.6,71.01,light intensity shower rain,83,40,12.75,0.0,0,MU
22,Carnarvon,-24.87,113.63,64.4,64.4,broken clouds,72,75,10.29,0.0,0,AU
23,Namatanai,-3.67,152.43,85.33,85.33,few clouds,61,14,3.4,0.0,0,PG
24,Cape Town,-33.93,18.42,46.4,43.0,clear sky,75,1,10.29,0.0,0,ZA
25,Cockburn Town,21.46,-71.14,82.18,82.18,clear sky,85,0,16.91,0.0,0,TC
26,Makakilo City,21.35,-158.09,87.8,80.6,broken clouds,48,75,9.17,0.0,0,US
27,Saldanha,-33.01,17.94,41.0,41.0,clear sky,86,0,1.12,0.0,0,ZA
28,Simbahan,6.3,120.58,82.98,82.98,light rain,69,98,3.0,0.88,0,PH
29,Luderitz,-26.65,15.16,53.6,53.6,clear sky,58,0,5.82,0.0,0,NA
30,Nanortalik,60.14,-45.24,41.22,41.22,light rain,94,100,2.3,0.21,0,GL
31,Constitucion,-35.33,-72.42,53.74,53.74,clear sky,73,0,4.7,0.0,0,CL
32,Codrington,-38.27,141.97,50.52,50.52,clear sky,82,3,10.56,0.0,0,AU
33,Port Elizabeth,-33.92,25.57,48.2,48.2,light rain,76,89,10.29,0.48,0,ZA
34,Pangnirtung,66.15,-65.71,56.93,56.93,broken clouds,54,51,8.32,0.0,0,CA
35,Beringovskiy,63.05,179.32,51.15,51.15,overcast clouds,89,98,6.73,0.0,0,RU
36,Castro,-24.79,-50.01,51.08,51.08,clear sky,66,0,2.3,0.0,0,BR
37,Chase,50.82,-119.69,79.0,79.0,overcast clouds,39,100,2.37,0.0,0,CA
38,Kamenka,51.32,42.77,62.01,55.99,clear sky,86,0,5.99,0.0,0,RU
39,Bol,13.46,14.71,80.26,80.26,overcast clouds,77,100,12.84,0.0,0,TD
40,Chokurdakh,70.63,147.92,40.3,40.3,overcast clouds,69,100,12.21,0.0,0,RU
41,Bethel,41.37,-73.41,71.01,66.0,thunderstorm,83,20,3.36,0.0,0,US
42,Banda Aceh,5.56,95.32,81.34,81.34,overcast clouds,77,100,3.18,0.0,0,ID
43,Kyren,51.68,102.14,63.99,63.99,light rain,84,100,1.16,1.0,0,RU
44,Kapaa,22.08,-159.32,82.4,81.0,broken clouds,74,75,14.99,0.0,0,US
45,Laguna,38.42,-121.42,89.01,86.0,clear sky,31,1,12.75,0.0,0,US
46,San Patricio,19.22,-104.7,86.0,86.0,broken clouds,74,75,17.22,0.0,0,MX
47,Busselton,-33.65,115.33,59.0,50.0,light rain,79,89,14.58,0.13,0,AU
48,Lebu,-37.62,-73.65,50.16,50.16,clear sky,76,0,5.23,0.0,0,CL
49,Broken Hill,-31.95,141.43,48.2,48.2,clear sky,76,5,1.12,0.0,0,AU
50,Thompson,55.74,-97.86,60.8,60.8,light intensity shower rain,93,90,6.93,0.0,0,CA
51,Mataura,-46.19,168.86,47.75,47.75,clear sky,73,3,4.56,0.0,0,NZ
52,Mount Gambier,-37.83,140.77,44.6,44.6,broken clouds,93,75,6.93,0.0,0,AU
53,San Cristobal,7.77,-72.22,65.95,65.95,clear sky,86,0,2.42,0.0,0,VE
54,Ribeira Grande,38.52,-28.7,69.49,69.49,clear sky,79,0,8.59,0.0,0,PT
55,Manta,-0.95,-80.73,70.18,70.18,broken clouds,87,71,8.63,0.0,0,EC
56,Smithers,54.78,-127.17,57.2,57.2,overcast clouds,87,90,6.93,0.0,0,CA
57,Avera,33.19,-82.53,84.0,80.6,clear sky,74,1,3.27,0.0,0,US
58,Airai,-8.93,125.41,66.58,66.58,clear sky,71,5,5.08,0.0,0,TL
59,Yulara,-25.24,130.99,55.4,55.4,clear sky,35,0,5.82,0.0,0,AU
60,Butaritari,3.07,172.79,77.86,77.86,light rain,81,100,4.9,0.16,0,KI
61,Atambua,-9.11,124.89,78.19,78.19,clear sky,56,0,5.55,0.0,0,ID
62,Khatanga,71.97,102.5,61.83,61.83,overcast clouds,71,100,11.25,0.0,0,RU
63,Verkhnyaya Toyma,62.23,45.0,55.2,55.2,overcast clouds,91,93,4.36,0.0,0,RU
64,Nerkunram,12.69,79.85,80.6,80.6,mist,88,90,4.7,0.0,0,IN
65,Provideniya,64.38,-173.3,46.4,46.4,moderate rain,93,90,11.18,0.0,0,RU
66,Helong,42.54,129.0,79.39,79.39,clear sky,48,2,3.11,0.0,0,CN
67,Tiksi,71.69,128.87,43.59,43.59,clear sky,72,0,9.26,0.0,0,RU
68,Vaini,-21.2,-175.2,75.2,75.2,broken clouds,73,75,12.75,0.0,0,TO
69,Bereda,43.27,-7.54,59.0,57.0,few clouds,97,23,7.0,0.0,0,ES
70,Vanderhoof,54.02,-124.02,57.36,57.36,overcast clouds,84,100,5.37,0.0,0,CA
71,Yellowknife,62.46,-114.35,55.4,55.4,light rain,100,90,13.87,0.0,0,CA
72,Victoria,22.29,114.16,90.0,87.01,few clouds,66,12,11.99,0.0,0,HK
73,Cayenne,4.93,-52.33,78.8,78.8,few clouds,94,20,2.24,0.0,0,GF
74,Nikolskoye,59.7,30.79,55.99,50.0,mist,87,82,4.47,0.0,0,RU
75,Irbil,36.19,44.01,84.78,84.78,clear sky,17,0,6.69,0.0,0,IQ
76,Kloulklubed,7.04,134.26,86.0,86.0,broken clouds,74,75,8.05,0.0,0,PW
77,Mahebourg,-20.41,57.7,71.6,71.6,light intensity shower rain,83,40,12.75,0.0,0,MU
78,Nome,64.5,-165.41,51.8,51.01,light rain,87,90,9.17,0.25,0,US
79,Vila Do Maio,15.13,-23.22,78.8,78.8,scattered clouds,83,40,11.41,0.0,0,CV
80,Madison Heights,42.49,-83.11,81.0,73.99,clear sky,44,1,3.36,0.0,0,US
