City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2020-07-11 22:11:52,41.37,-73.41,81.0,74,40,5.82
1,New Norfolk,AU,2020-07-11 22:11:53,-42.78,147.06,45.0,92,50,1.28
2,Luderitz,NA,2020-07-11 22:11:53,-26.65,15.16,53.6,81,0,5.82
3,Hobart,AU,2020-07-11 22:11:18,-42.88,147.33,46.0,93,75,1.12
4,Gigmoto,PH,2020-07-11 22:08:10,13.78,124.39,80.46,79,100,2.19
5,Monrovia,LR,2020-07-11 22:11:54,6.3,-10.8,76.12,80,52,12.35
6,Brattvag,NO,2020-07-11 22:11:54,62.6,6.44,50.0,87,95,13.87
7,Laguna,US,2020-07-11 22:11:54,38.42,-121.42,104.0,17,1,4.7
8,Namatanai,PG,2020-07-11 22:11:54,-3.67,152.43,81.34,80,52,6.76
9,Hearst,CA,2020-07-11 22:11:55,49.68,-83.67,63.21,63,99,10.22
10,Gbadolite,CD,2020-07-11 22:11:55,4.28,21.02,71.62,95,100,2.86
11,Kodiak,US,2020-07-11 22:09:10,57.79,-152.41,62.6,63,1,5.82
12,Jaru,BR,2020-07-11 22:11:55,-10.44,-62.47,79.93,57,2,3.36
13,Bluff,NZ,2020-07-11 22:11:56,-46.6,168.33,49.64,76,99,19.82
14,Mackay,AU,2020-07-11 22:11:56,-21.15,149.2,59.0,100,6,4.7
15,Minden,DE,2020-07-11 22:11:56,52.28,8.92,55.99,87,6,2.24
16,Cidreira,BR,2020-07-11 22:11:56,-30.18,-50.21,56.53,85,100,5.91
17,Havoysund,NO,2020-07-11 22:11:56,71.0,24.66,53.6,66,100,9.17
18,Rio Gallegos,AR,2020-07-11 22:11:57,-51.62,-69.22,33.8,86,75,14.99
19,Sola,VU,2020-07-11 22:11:57,-13.88,167.55,80.6,94,90,11.41
20,Lata,PT,2020-07-11 22:11:57,40.16,-8.33,73.99,59,100,8.01
21,Sakakah,SA,2020-07-11 22:11:57,29.97,40.21,91.4,13,0,13.87
22,Port Elizabeth,ZA,2020-07-11 22:11:58,-33.92,25.57,50.0,66,6,9.17
23,Port Hardy,CA,2020-07-11 22:11:58,50.7,-127.42,55.4,100,75,6.93
24,Faya,SA,2020-07-11 22:11:58,18.39,42.45,77.0,40,68,2.86
25,Sovetskiy,RU,2020-07-11 22:11:59,61.36,63.58,60.22,61,4,6.53
26,Letka,RU,2020-07-11 22:11:59,59.6,49.42,60.46,74,95,7.65
27,Burayevo,RU,2020-07-11 22:11:59,55.84,55.41,59.72,87,0,4.5
28,Pisco,PE,2020-07-11 22:12:00,-13.7,-76.22,62.6,77,40,9.17
29,Camacha,PT,2020-07-11 22:12:00,33.08,-16.33,69.8,77,40,12.75
30,Lar,IN,2020-07-11 22:12:01,26.2,83.97,82.02,87,100,3.83
31,Mut,TR,2020-07-11 22:12:01,36.64,33.44,78.4,31,0,6.78
32,Nome,US,2020-07-11 22:12:01,64.5,-165.41,69.8,37,1,12.75
33,Cape Coast,GH,2020-07-11 22:12:01,5.11,-1.25,74.37,89,74,9.06
34,Kurumkan,RU,2020-07-11 22:12:02,54.3,110.3,67.33,74,96,3.13
35,Khatanga,RU,2020-07-11 22:12:02,71.97,102.5,51.49,79,77,16.02
36,Shubarkuduk,KZ,2020-07-11 22:12:02,49.14,56.49,84.54,34,35,9.53
37,Clyde River,CA,2020-07-11 22:12:03,70.47,-68.59,53.6,66,20,13.87
38,Saskylakh,RU,2020-07-11 22:12:03,71.92,114.08,67.91,75,52,12.75
39,Atuona,PF,2020-07-11 22:12:03,-9.8,-139.03,79.41,78,40,16.96
40,College,US,2020-07-11 22:12:03,64.86,-147.8,66.2,42,75,3.36
41,Vaini,TO,2020-07-11 22:12:03,-21.2,-175.2,73.4,88,40,13.87
42,Ushuaia,AR,2020-07-11 22:12:04,-54.8,-68.3,35.6,74,20,16.11
43,Abhar,IR,2020-07-11 22:12:04,36.15,49.22,57.92,82,74,7.45
44,Mataura,NZ,2020-07-11 22:12:04,-46.19,168.86,44.15,93,69,3.31
45,Talnakh,RU,2020-07-11 22:12:05,69.49,88.4,48.2,93,90,11.18
46,Road Town,VG,2020-07-11 22:12:05,18.42,-64.62,86.0,70,40,10.29
47,Ilulissat,GL,2020-07-11 22:12:05,69.22,-51.1,46.4,70,75,5.82
48,Tasiilaq,GL,2020-07-11 22:12:05,65.61,-37.64,44.6,75,53,17.22
49,Lorengau,PG,2020-07-11 22:12:05,-2.02,147.27,82.8,76,88,4.83
50,Atasu,KZ,2020-07-11 22:09:44,48.68,71.64,63.41,61,0,3.56
51,Kichera,RU,2020-07-11 22:12:06,55.94,110.1,68.59,68,75,3.51
52,Anito,PH,2020-07-11 22:12:06,12.45,125.29,78.35,83,99,3.09
53,Sipe Sipe,BO,2020-07-11 22:12:06,-17.45,-66.38,73.4,16,75,6.67
54,Port Blair,IN,2020-07-11 22:12:06,11.67,92.75,82.09,81,100,10.02
55,Nisia Floresta,BR,2020-07-11 22:12:07,-6.09,-35.21,73.4,100,90,10.29
56,Naryan-Mar,RU,2020-07-11 22:12:07,67.67,53.09,50.32,83,0,4.41
57,Albany,US,2020-07-11 22:11:33,42.6,-73.97,89.6,52,75,16.11
58,Petropavlovsk-Kamchatskiy,RU,2020-07-11 22:12:07,53.05,158.65,55.4,100,75,2.24
59,Kahului,US,2020-07-11 22:09:39,20.89,-156.47,89.6,40,20,24.16
60,Constitucion,CL,2020-07-11 22:11:54,-35.33,-72.42,49.89,70,96,5.73
61,Soyo,AO,2020-07-11 22:12:08,-6.13,12.37,71.69,84,13,6.85
62,Rikitea,PF,2020-07-11 22:12:08,-23.12,-134.97,69.26,69,11,17.4
63,Mitsamiouli,KM,2020-07-11 22:12:08,-11.38,43.28,76.98,68,16,4.29
64,Shawnee,US,2020-07-11 22:12:08,39.05,-95.77,84.2,79,40,11.41
65,Mount Gambier,AU,2020-07-11 22:12:08,-37.83,140.77,42.8,93,75,3.44
66,Lakefield,US,2020-07-11 22:12:09,43.68,-95.17,79.0,61,1,11.41
67,Hithadhoo,MV,2020-07-11 22:12:09,-0.6,73.08,83.05,79,17,12.33
68,Kendal,GB,2020-07-11 22:12:09,54.33,-2.75,55.99,86,1,1.01
69,Chumikan,RU,2020-07-11 22:12:09,54.72,135.31,50.09,94,100,6.24
70,Shimoda,JP,2020-07-11 22:12:09,34.67,138.95,73.0,88,100,1.99
71,Barrow,US,2020-07-11 22:12:10,71.29,-156.79,35.6,80,90,8.05
72,Busselton,AU,2020-07-11 22:12:10,-33.65,115.33,45.0,77,0,15.99
73,Beira,MZ,2020-07-11 22:12:10,-19.84,34.84,68.0,82,0,9.17
74,Kapaa,US,2020-07-11 22:12:10,22.08,-159.32,79.0,88,90,19.46
75,Jamestown,US,2020-07-11 22:11:21,42.1,-79.24,70.0,93,90,14.99
76,Cedar City,US,2020-07-11 22:12:10,37.68,-113.06,98.6,14,1,17.22
77,Camopi,GF,2020-07-11 22:12:11,3.17,-52.32,75.58,95,96,2.95
78,Huilong,CN,2020-07-11 22:12:11,31.81,121.66,80.01,98,100,1.99
79,Arlit,NE,2020-07-11 22:12:11,18.74,7.39,95.0,22,23,9.13
80,Kavaratti,IN,2020-07-11 22:12:11,10.57,72.64,77.43,91,100,19.48
81,Port Alfred,ZA,2020-07-11 22:12:12,-33.59,26.89,52.0,74,42,5.01
82,Dmanisi,GE,2020-07-11 22:12:12,41.53,44.35,69.8,94,85,2.24
83,Cape Town,ZA,2020-07-11 22:08:16,-33.93,18.42,54.0,81,20,9.17
84,Choix,MX,2020-07-11 22:12:12,26.71,-108.32,103.08,33,0,8.25
85,Goundam,ML,2020-07-11 22:12:12,16.41,-3.67,92.3,41,23,5.86
86,Kjollefjord,NO,2020-07-11 22:12:12,70.95,27.35,47.8,82,100,4.72
87,Qaanaaq,GL,2020-07-11 22:12:13,77.48,-69.36,46.38,57,17,2.66
88,Lady Frere,ZA,2020-07-11 22:12:13,-31.7,27.23,35.26,84,21,6.2
89,Castro,BR,2020-07-11 22:10:46,-24.79,-50.01,58.73,86,0,5.77
90,Tuatapere,NZ,2020-07-11 22:12:13,-46.13,167.68,46.69,86,66,7.07
91,Puerto Ayora,EC,2020-07-11 22:12:13,-0.74,-90.35,66.99,94,82,3.0
92,Sibu,MY,2020-07-11 22:12:13,2.3,111.82,75.2,94,40,1.19
93,San Patricio,MX,2020-07-11 22:12:14,19.22,-104.7,86.0,74,75,6.93
94,Moree,AU,2020-07-11 22:12:14,-29.47,149.85,51.8,93,90,6.8
95,Hermanus,ZA,2020-07-11 22:12:14,-34.42,19.23,50.0,77,1,5.99
96,Truro,GB,2020-07-11 22:12:14,50.27,-5.05,59.0,82,87,4.7
97,Hami,CN,2020-07-11 22:12:14,42.8,93.45,78.15,26,97,4.97
98,Flinders,AU,2020-07-11 22:12:15,-34.58,150.86,51.01,93,67,4.0
99,Chokurdakh,RU,2020-07-11 22:12:15,70.63,147.92,58.12,58,74,7.72
100,Victoria,HK,2020-07-11 22:08:38,22.29,114.16,82.99,79,70,5.99
101,Georgetown,MY,2020-07-11 22:10:04,5.41,100.34,77.0,88,20,5.48
102,Xuddur,SO,2020-07-11 22:12:15,4.12,43.89,74.37,73,77,19.42
103,La Ronge,CA,2020-07-11 22:12:16,55.1,-105.28,75.2,53,75,9.17
104,Aitape,PG,2020-07-11 22:12:16,-3.14,142.35,78.06,83,100,5.37
105,Thompson,CA,2020-07-11 22:12:16,55.74,-97.86,62.6,72,90,2.24
106,Wanning,CN,2020-07-11 22:12:16,18.8,110.4,81.72,88,82,12.5
107,Rovaniemi,FI,2020-07-11 22:12:16,66.5,25.72,51.8,71,2,6.93
108,Dikson,RU,2020-07-11 22:12:17,73.51,80.55,41.88,99,100,14.97
109,Souillac,MU,2020-07-11 22:12:17,-20.52,57.52,69.8,73,40,17.22
110,Caravelas,BR,2020-07-11 22:12:17,-17.71,-39.25,71.42,83,0,4.41
111,Yankton,US,2020-07-11 22:10:56,42.87,-97.4,82.4,42,1,14.99
112,Huarmey,PE,2020-07-11 22:12:17,-10.07,-78.15,64.96,70,1,9.35
113,East London,ZA,2020-07-11 22:12:00,-33.02,27.91,56.73,56,65,18.21
114,Kavieng,PG,2020-07-11 22:12:18,-2.57,150.8,82.89,75,100,10.83
115,Geraldton,AU,2020-07-11 22:12:18,-28.77,114.6,51.8,40,0,21.92
116,Hilo,US,2020-07-11 22:12:18,19.73,-155.09,82.4,54,1,5.82
117,Pevek,RU,2020-07-11 22:12:07,69.7,170.31,49.69,76,88,5.03
118,Nikolskoye,RU,2020-07-11 22:12:18,59.7,30.79,57.2,82,75,8.95
119,Provideniya,RU,2020-07-11 22:12:19,64.38,-173.3,56.43,49,0,2.46
120,Husavik,IS,2020-07-11 22:12:19,66.04,-17.34,53.6,76,90,4.7
121,Bambous Virieux,MU,2020-07-11 22:12:19,-20.34,57.76,71.01,73,40,17.22
122,Udayagiri,IN,2020-07-11 22:12:20,20.13,84.38,73.08,91,100,2.24
123,Arraial Do Cabo,BR,2020-07-11 22:11:07,-22.97,-42.03,75.2,69,0,13.87
124,Leshukonskoye,RU,2020-07-11 22:12:20,64.9,45.76,56.68,96,100,8.3
125,Baghdad,IQ,2020-07-11 22:12:20,33.34,44.4,93.2,21,0,10.29
126,Ribeira Grande,PT,2020-07-11 22:12:20,38.52,-28.7,69.57,85,44,11.43
127,Codrington,AU,2020-07-11 22:12:20,-38.27,141.97,44.11,93,20,3.62
128,Pangnirtung,CA,2020-07-11 22:12:21,66.15,-65.71,53.01,53,85,2.44
129,Ylojarvi,FI,2020-07-11 22:12:21,61.56,23.6,52.0,100,100,1.12
130,Mahebourg,MU,2020-07-11 22:12:21,-20.41,57.7,69.8,73,40,17.22
131,Twentynine Palms,US,2020-07-11 22:12:21,34.14,-116.05,111.0,13,21,5.01
132,Springfield,US,2020-07-11 22:12:21,37.22,-93.3,95.0,49,40,4.7
133,Butaritari,KI,2020-07-11 22:12:21,3.07,172.79,82.99,80,17,17.78
134,Lucapa,AO,2020-07-11 22:12:22,-8.42,20.74,71.13,35,17,1.3
135,Thanh Hoa,VN,2020-07-11 22:07:51,19.8,105.77,82.33,75,100,3.22
136,Muttupet,IN,2020-07-11 22:12:22,10.4,79.48,82.8,79,93,8.84
137,Belmonte,BR,2020-07-11 22:12:22,-15.86,-38.88,73.4,83,20,3.36
138,Vardo,NO,2020-07-11 22:12:22,70.37,31.11,47.32,89,24,12.41
139,Klaksvik,FO,2020-07-11 22:12:22,62.23,-6.59,50.0,100,96,8.05
140,Saldanha,ZA,2020-07-11 22:12:23,-33.01,17.94,46.4,81,25,2.24
141,Zhigalovo,RU,2020-07-11 22:12:23,54.81,105.16,60.26,89,95,2.37
142,Saint-Philippe,RE,2020-07-11 22:12:23,-21.36,55.77,68.0,82,45,6.93
143,Chuy,UY,2020-07-11 22:12:23,-33.7,-53.46,44.76,69,23,5.39
144,Maldonado,UY,2020-07-11 22:07:40,-34.67,-54.92,50.0,76,27,6.93
145,Port Lincoln,AU,2020-07-11 22:10:58,-34.73,135.87,52.02,82,10,10.76
146,Washougal,US,2020-07-11 22:12:24,45.58,-122.35,80.01,50,40,5.82
147,Tiksi,RU,2020-07-11 22:12:24,71.69,128.87,49.23,72,100,7.23
148,Kawalu,ID,2020-07-11 22:12:24,-7.38,108.21,71.42,93,98,2.21
149,Ilhabela,BR,2020-07-11 22:12:24,-23.78,-45.36,73.9,66,1,4.97
150,Samana,DO,2020-07-11 22:12:24,19.21,-69.34,82.4,83,40,6.93
151,Haines Junction,CA,2020-07-11 22:12:25,60.75,-137.51,60.12,46,100,7.07
152,Saint Anthony,US,2020-07-11 22:10:51,45.02,-93.22,82.99,45,20,6.93
153,Valparaiso,CL,2020-07-11 22:12:25,-33.04,-71.63,59.0,87,75,9.17
154,Lavrentiya,RU,2020-07-11 22:12:25,65.58,-171.0,56.25,48,16,6.2
155,Nanortalik,GL,2020-07-11 22:12:25,60.14,-45.24,43.3,92,51,10.78
156,Aracataca,CO,2020-07-11 22:12:26,10.59,-74.19,73.0,87,99,1.99
157,Vostok,RU,2020-07-11 22:12:26,46.49,135.88,61.25,83,63,1.79
158,Yabrud,SY,2020-07-11 22:12:26,33.97,36.66,71.6,78,0,17.22
159,Boden,SE,2020-07-11 22:12:26,65.83,21.69,55.4,87,51,0.56
160,Guerrero Negro,MX,2020-07-11 22:12:27,27.98,-114.06,89.87,28,0,16.71
161,Cockburn Town,TC,2020-07-11 22:12:27,21.46,-71.14,86.0,70,40,11.41
162,Airai,TL,2020-07-11 22:12:27,-8.93,125.41,57.56,100,58,3.78
163,Holme,DK,2020-07-11 22:12:27,56.11,10.17,51.8,81,0,11.41
164,Ancud,CL,2020-07-11 22:12:27,-41.87,-73.82,42.01,80,75,10.29
165,San Rafael Del Sur,NI,2020-07-11 22:12:27,11.85,-86.44,86.0,66,40,11.41
166,Batabano,CU,2020-07-11 22:12:28,22.72,-82.29,86.0,66,40,10.29
167,Aseri,EE,2020-07-11 22:12:28,59.45,26.87,54.54,86,94,16.15
168,Ashqelon,IL,2020-07-11 22:12:28,31.67,34.57,79.0,72,0,3.49
169,Namibe,AO,2020-07-11 22:12:28,-15.2,12.15,64.99,58,0,9.06
170,Opuwo,NA,2020-07-11 22:12:28,-18.06,13.84,51.24,42,0,6.35
171,Kirakira,SB,2020-07-11 22:12:28,-10.45,161.92,82.04,78,18,12.03
172,Longyearbyen,SJ,2020-07-11 22:12:29,78.22,15.64,44.6,70,40,28.86
173,Bredasdorp,ZA,2020-07-11 22:12:29,-34.53,20.04,46.4,81,0,3.36
174,Kruisfontein,ZA,2020-07-11 22:12:29,-34.0,24.73,46.56,68,49,7.67
175,Norman Wells,CA,2020-07-11 22:12:29,65.28,-126.83,57.2,71,90,10.29
176,Watsa,CD,2020-07-11 22:12:29,3.04,29.54,63.19,97,92,1.81
177,Severo-Kurilsk,RU,2020-07-11 22:12:30,50.68,156.12,51.35,91,100,5.44
178,Kiunga,PG,2020-07-11 22:12:30,-6.12,141.29,73.89,98,99,2.24
179,Cagnes-Sur-Mer,FR,2020-07-11 22:11:13,43.66,7.15,77.0,83,40,14.99
180,Celestun,MX,2020-07-11 22:12:30,20.87,-90.4,85.44,71,97,16.49
181,Concepcion,CL,2020-07-11 22:11:05,-36.83,-73.05,51.8,81,75,8.05
182,Mar Del Plata,AR,2020-07-11 22:12:30,-38.0,-57.56,52.0,57,57,11.41
183,Narsaq,GL,2020-07-11 22:12:31,60.92,-46.05,55.4,82,23,5.82
184,Hasaki,JP,2020-07-11 22:09:24,35.73,140.83,81.0,94,75,3.36
185,Filimonovo,RU,2020-07-11 22:11:03,56.2,95.46,51.78,86,8,3.15
186,Hastings,GB,2020-07-11 22:12:32,50.86,0.57,55.0,73,33,5.59
187,Ponta Do Sol,PT,2020-07-11 22:12:32,32.67,-17.1,70.0,76,0,5.1
188,Dingle,PH,2020-07-11 22:12:33,11.0,122.67,77.16,86,100,1.77
189,Yellowknife,CA,2020-07-11 22:12:33,62.46,-114.35,75.0,56,75,8.05
190,Torbay,CA,2020-07-11 22:12:33,47.67,-52.73,68.0,68,90,10.29
191,Saint-Pierre,RE,2020-07-11 22:12:34,-21.34,55.48,66.2,82,27,6.93
192,Maceio,BR,2020-07-11 22:12:34,-9.67,-35.74,73.4,88,90,5.82
193,Tautira,PF,2020-07-11 22:12:35,-17.73,-149.15,84.2,51,20,18.34
194,Gambela,ET,2020-07-11 22:12:35,8.25,34.58,72.25,89,74,3.13
195,Lishui,CN,2020-07-11 22:12:35,28.46,119.91,77.85,85,73,2.66
196,Talen,IN,2020-07-11 22:12:35,23.57,76.72,79.99,80,92,13.44
197,Taltal,CL,2020-07-11 22:12:36,-25.4,-70.48,57.22,80,23,3.87
198,Jawhar,SO,2020-07-11 22:10:05,2.78,45.5,76.93,79,24,17.0
199,Leningradskiy,RU,2020-07-11 22:12:36,69.38,178.42,46.31,62,0,15.73
200,La Peca,PE,2020-07-11 22:12:36,-5.61,-78.44,80.82,54,52,1.95
201,Olafsvik,IS,2020-07-11 22:12:36,64.89,-23.71,51.53,90,100,16.53
202,Mount Darwin,ZW,2020-07-11 22:12:37,-16.77,31.58,63.52,65,7,2.53
203,Tuktoyaktuk,CA,2020-07-11 22:12:37,69.45,-133.04,48.2,76,20,9.17
204,Punta Arenas,CL,2020-07-11 22:12:37,-53.15,-70.92,35.6,69,40,10.29
205,Omboue,GA,2020-07-11 22:12:37,-1.57,9.26,73.36,91,16,7.49
206,Kudahuvadhoo,MV,2020-07-11 22:12:37,2.67,72.89,83.48,76,74,8.88
207,San Vicente,AR,2020-07-11 22:12:37,-26.62,-54.13,62.91,97,85,2.95
208,Shizuishan,CN,2020-07-11 22:12:38,39.23,106.77,70.11,55,100,7.2
209,Amapa,BR,2020-07-11 22:12:38,1.0,-52.0,74.8,96,80,2.55
210,Mandera,KE,2020-07-11 22:12:38,3.94,41.87,82.24,56,16,20.49
211,Lagoa,PT,2020-07-11 22:12:38,39.05,-27.98,69.46,85,40,13.87
212,Edinet,MD,2020-07-11 22:12:38,48.17,27.3,66.99,73,0,5.01
213,Ahipara,NZ,2020-07-11 22:12:38,-35.17,173.17,55.63,73,37,4.92
214,Minab,IR,2020-07-11 22:12:39,27.15,57.08,91.4,79,20,2.24
215,Belaguntha,IN,2020-07-11 22:12:39,19.88,84.65,82.04,81,100,1.16
216,Niltepec,MX,2020-07-11 22:12:39,16.57,-94.62,87.42,66,97,3.76
217,Mangrol,IN,2020-07-11 22:09:04,21.12,70.12,83.86,81,29,17.07
218,Quesnel,CA,2020-07-11 22:11:53,53.0,-122.5,57.2,82,75,3.36
219,Coahuayana,MX,2020-07-11 22:12:39,18.73,-103.68,84.2,74,75,6.49
220,Atbasar,KZ,2020-07-11 22:12:40,51.8,68.33,69.13,83,81,7.02
221,Bengkulu,ID,2020-07-11 22:12:40,-3.8,102.27,75.18,87,35,4.14
222,Sanmenxia,CN,2020-07-11 22:12:40,34.77,111.18,66.22,86,100,1.03
223,Rapid Valley,US,2020-07-11 22:12:40,44.06,-103.15,84.2,28,1,8.25
224,Dedza,MW,2020-07-11 22:12:40,-14.38,34.33,56.34,57,0,0.67
225,Shakawe,BW,2020-07-11 22:12:40,-18.37,21.85,47.93,50,0,6.08
226,Gresham,US,2020-07-11 22:10:05,45.5,-122.43,79.0,50,40,5.82
227,Upernavik,GL,2020-07-11 22:12:41,72.79,-56.15,41.81,82,7,4.41
228,San Pedro,PH,2020-07-11 22:12:41,14.35,121.02,80.01,82,99,2.28
229,Vila Velha,BR,2020-07-11 22:10:17,-20.33,-40.29,71.6,78,0,3.36
230,Marsa Matruh,EG,2020-07-11 22:12:41,31.35,27.25,75.2,78,0,5.82
231,Panjab,AF,2020-07-11 22:12:41,34.39,67.02,49.48,58,0,5.1
232,Lompoc,US,2020-07-11 22:11:21,34.64,-120.46,80.01,60,0,11.41
233,Cabo San Lucas,MX,2020-07-11 22:09:00,22.89,-109.91,93.99,49,5,14.99
234,Mehamn,NO,2020-07-11 22:12:42,71.04,27.85,46.83,85,100,4.21
235,Grindavik,IS,2020-07-11 22:12:42,63.84,-22.43,48.2,100,90,12.75
236,Lensk,RU,2020-07-11 22:12:43,60.73,114.93,66.0,80,81,3.69
237,Avarua,CK,2020-07-11 22:11:37,-21.21,-159.78,77.0,78,96,8.05
238,Hof,DE,2020-07-11 22:12:43,50.32,11.92,50.0,72,0,1.01
239,Barcelona,ES,2020-07-11 22:08:43,41.39,2.16,77.0,78,20,3.36
240,Xiuyan,CN,2020-07-11 22:12:43,40.29,123.27,69.4,79,98,1.61
241,Juneau,US,2020-07-11 22:12:43,58.3,-134.42,59.0,82,75,6.93
242,Nyurba,RU,2020-07-11 22:12:44,63.28,118.33,67.46,94,35,7.87
243,Pryazha,RU,2020-07-11 22:12:44,61.69,33.62,59.0,82,98,15.66
244,Ahuimanu,US,2020-07-11 22:10:00,21.44,-157.84,86.0,65,40,16.11
245,Birao,CF,2020-07-11 22:12:44,10.28,22.79,72.84,88,82,3.56
246,Aflao,TG,2020-07-11 22:12:44,6.12,1.19,78.8,83,20,9.17
247,Taoudenni,ML,2020-07-11 22:12:44,22.68,-3.98,92.07,39,99,13.33
248,Colares,PT,2020-07-11 22:12:45,38.8,-9.45,69.01,72,15,17.0
249,Stonewall,CA,2020-07-11 22:12:45,50.13,-97.33,79.0,50,20,6.93
250,Kaitangata,NZ,2020-07-11 22:12:45,-46.28,169.85,50.0,71,74,7.0
251,Turukhansk,RU,2020-07-11 22:12:45,65.82,87.98,50.99,92,23,4.14
252,Praia Da Vitoria,PT,2020-07-11 22:12:45,38.73,-27.07,71.6,73,40,10.85
253,Ketchikan,US,2020-07-11 22:12:46,55.34,-131.65,57.2,93,90,16.11
254,San Clemente,US,2020-07-11 22:12:46,33.43,-117.61,95.0,40,1,12.75
255,Alugan,PH,2020-07-11 22:12:46,12.22,125.48,78.78,82,100,4.38
